Re,Im,Norm,Agr,Prime,Assoc,Primes,Distinct,Factor,TextIndex,Text
4.5,3.5,-41,0.932,1,6,0,1,(2 - 3√5),2,4.5 + 3.5√5,-4.5 - 3.5√5,2 - 3√5
-4.5,3.5,-41,2.209,1,9,0,1,(2 + 3√5),2,-4.5 + 3.5√5,4.5 - 3.5√5,2 + 3√5
6.5,0.5,41,0.132,1,0,0,1,(2 - 3√5),2,6.5 + 0.5√5,-6.5 - 0.5√5,2 - 3√5
-6.5,0.5,41,3.009,1,3,0,1,(2 + 3√5),2,-6.5 + 0.5√5,6.5 - 0.5√5,2 + 3√5
8.5,2.5,41,0.471,1,0,0,1,(2 + 3√5),2,8.5 + 2.5√5,-8.5 - 2.5√5,2 + 3√5
-8.5,2.5,41,2.67,1,3,0,1,(2 - 3√5),2,-8.5 + 2.5√5,8.5 - 2.5√5,2 - 3√5
11.0,4.0,41,0.562,1,10,0,1,(2 - 3√5),2,11 + 4√5,-11 - 4√5,2 - 3√5
-11.0,4.0,41,2.58,1,13,0,1,(2 + 3√5),2,-11 + 4√5,11 - 4√5,2 + 3√5
10.5,5.5,-41,0.737,1,6,0,1,(2 + 3√5),2,10.5 + 5.5√5,-10.5 - 5.5√5,2 + 3√5
-10.5,5.5,-41,2.405,1,9,0,1,(2 - 3√5),2,-10.5 + 5.5√5,10.5 - 5.5√5,2 - 3√5
15.5,7.5,-41,0.698,1,14,0,1,(2 - 3√5),2,15.5 + 7.5√5,-15.5 - 7.5√5,2 - 3√5
-15.5,7.5,-41,2.444,1,17,0,1,(2 + 3√5),2,-15.5 + 7.5√5,15.5 - 7.5√5,2 + 3√5
19.0,8.0,41,0.63,1,10,0,1,(2 + 3√5),2,19 + 8√5,-19 - 8√5,2 + 3√5
-19.0,8.0,41,2.511,1,13,0,1,(2 - 3√5),2,-19 + 8√5,19 - 8√5,2 - 3√5
26.5,11.5,41,0.645,1,18,0,1,(2 - 3√5),2,26.5 + 11.5√5,-26.5 - 11.5√5,2 - 3√5
-26.5,11.5,41,2.497,1,21,0,1,(2 + 3√5),2,-26.5 + 11.5√5,26.5 - 11.5√5,2 + 3√5
29.5,13.5,-41,0.67,1,14,0,1,(2 + 3√5),2,29.5 + 13.5√5,-29.5 - 13.5√5,2 + 3√5
-29.5,13.5,-41,2.471,1,17,0,1,(2 - 3√5),2,-29.5 + 13.5√5,29.5 - 13.5√5,2 - 3√5
1.0,3.0,-44,1.381,0,2,0,2,(1 + √5) (0.5 + 1.5√5),0,1 + 3√5,-1 - 3√5
-1.0,3.0,-44,1.761,0,2,0,2,(1 + √5) (0.5 - 1.5√5),1,-1 + 3√5,1 - 3√5
7.0,1.0,44,0.243,0,4,0,2,(1 + √5) (0.5 - 1.5√5),0,7 + √5,-7 - √5
